uls_2023;dim_3_t;<1 ano;1 - 4 anos;5 - 9 anos;10 - 14 anos;15 - 19 anos;20 - 24 anos;25 - 29 anos;30 - 34 anos;35 - 39 anos;40 - 44 anos;45 - 49 anos;50 - 54 anos;55 - 59 anos;60 - 64 anos;65 - 69 anos;70 - 74 anos;75 - 80 anos;81 - 84 anos;85 e mais anos
USI Flores;M;14;51;66;72;79;97;83;105;110;147;112;129;119;125;109;94;66;64;46
USI Flores;H;14;64;76;78;72;92;89;117;121;141;157;126;157;136;97;61;73;46;23
USI Graciosa;M;17;69;104;84;96;109;109;124;140;156;131;124;167;140;130;105;100;77;88
USI Graciosa;H;15;77;99;126;103;116;108;130;119;163;136;131;151;156;123;104;65;63;35
USI Pico;M;59;223;327;286;315;350;348;436;462;529;542;488;519;484;416;392;337;258;332
USI Pico;H;51;245;313;338;349;327;349;428;438;556;556;507;580;449;415;350;227;166;132
USI Santa Maria;M;19;108;116;144;155;155;165;166;200;215;196;207;208;183;177;132;90;83;97
USI Santa Maria;H;25;102;121;137;143;166;168;151;183;239;200;189;183;217;138;95;66;39;28
USI São Jorge;H;41;130;193;211;211;212;222;245;290;346;315;320;317;282;252;198;167;115;83
USI São Jorge;M;19;120;155;176;205;198;214;239;277;326;326;306;310;323;249;235;212;169;164
USI São Miguel;H;576;2658;3412;3997;4317;4507;4306;4561;4912;5564;5234;4735;4517;3940;3029;2127;1386;782;587
USI São Miguel;M;556;2395;3219;3951;4124;4283;4203;4498;5105;5748;5463;4810;4759;4211;3118;2574;2046;1473;1605
USI Terceira;M;201;859;1197;1264;1387;1500;1516;1718;1936;2066;2059;1921;2036;1930;1722;1315;1096;823;825
USI Terceira;H;215;907;1164;1319;1480;1528;1470;1742;1972;2076;1938;1922;1993;1835;1563;1144;759;500;336
